NAMESPACE                                               NAME                                                              READY   STATUS              RESTARTS   AGE     IP              NODE                            NOMINATED NODE   READINESS GATES
3scale-project                                          book-service-1-build                                              0/1     Error               0          13d     10.129.4.193    worker-04.osepext01.claro.amx   <none>           <none>
3scale-project                                          book-service-1-deploy                                             0/1     Completed           0          13d     10.131.3.18     worker-02.osepext01.claro.amx   <none>           <none>
3scale-project                                          book-service-1-jll5j                                              1/1     Running             0          13d     10.129.4.197    worker-04.osepext01.claro.amx   <none>           <none>
3scale-project                                          book-service-2-build                                              0/1     Error               0          13d     10.129.4.194    worker-04.osepext01.claro.amx   <none>           <none>
3scale-project                                          book-service-3-build                                              0/1     Completed           0          13d     10.129.4.196    worker-04.osepext01.claro.amx   <none>           <none>
3scale-project                                          claro-mock-service-1-build                                        0/1     Error               0          13d     10.128.1.19     infra-01.osepext01.claro.amx    <none>           <none>
3scale-project                                          claro-mock-service-2-build                                        0/1     Error               0          13d     10.128.1.21     infra-01.osepext01.claro.amx    <none>           <none>
3scale-project                                          claro-mock-service-3-build                                        0/1     Error               0          13d     10.128.1.25     infra-01.osepext01.claro.amx    <none>           <none>
3scale-project                                          claro-mock-service-4-build                                        0/1     Error               0          13d     10.128.1.26     infra-01.osepext01.claro.amx    <none>           <none>
3scale-project                                          claro-mock-service-5-build                                        0/1     Completed           0          13d     10.128.1.27     infra-01.osepext01.claro.amx    <none>           <none>
3scale-project                                          claro-mock-service-dc-3-4xl2q                                     1/1     Running             0          13d     10.128.1.106    infra-01.osepext01.claro.amx    <none>           <none>
3scale-project                                          claro-mock-service-dc-3-deploy                                    0/1     Completed           0          13d     10.128.1.105    infra-01.osepext01.claro.amx    <none>           <none>
3scale-project                                          system-app-3-deploy                                               0/1     Completed           0          56d     10.130.3.63     worker-01.osepext01.claro.amx   <none>           <none>
3scale-project                                          system-app-3-hook-post                                            0/1     Completed           0          56d     10.131.2.121    worker-02.osepext01.claro.amx   <none>           <none>
3scale-project                                          system-app-3-hook-pre                                             0/1     Completed           0          56d     10.131.2.119    worker-02.osepext01.claro.amx   <none>           <none>
3scale-project                                          system-app-4-deploy                                               0/1     Completed           0          41d     10.129.3.28     infra-03.osepext01.claro.amx    <none>           <none>
3scale-project                                          system-app-4-hook-post                                            0/1     Completed           0          41d     10.131.2.134    worker-02.osepext01.claro.amx   <none>           <none>
3scale-project                                          system-app-4-hook-pre                                             0/1     Completed           1          41d     10.131.2.132    worker-02.osepext01.claro.amx   <none>           <none>
3scale-project                                          system-app-4-sbh5t                                                3/3     Running             0          41d     10.131.2.133    worker-02.osepext01.claro.amx   <none>           <none>
3scale-project                                          system-app-5-deploy                                               0/1     DeadlineExceeded    0          41d     10.130.3.153    worker-01.osepext01.claro.amx   <none>           <none>
3scale-project                                          system-app-5-hook-pre                                             0/1     ContainerCreating   0          41d     <none>          infra-02.osepext01.claro.amx    <none>           <none>
3scale-project                                          system-memcache-1-deploy                                          0/1     Completed           0          56d     10.129.4.144    worker-04.osepext01.claro.amx   <none>           <none>
3scale-project                                          system-memcache-2-9nzcb                                           1/1     Running             0          56d     10.130.3.72     worker-01.osepext01.claro.amx   <none>           <none>
3scale-project                                          system-memcache-2-deploy                                          0/1     Completed           0          56d     10.130.3.71     worker-01.osepext01.claro.amx   <none>           <none>
3scale-project                                          system-sidekiq-2-deploy                                           0/1     Completed           0          56d     10.128.4.73     worker-03.osepext01.claro.amx   <none>           <none>
3scale-project                                          system-sidekiq-3-deploy                                           0/1     Completed           0          56d     10.130.3.73     worker-01.osepext01.claro.amx   <none>           <none>
3scale-project                                          system-sidekiq-4-5shk9                                            1/1     Running             41         41d     10.129.4.32     worker-04.osepext01.claro.amx   <none>           <none>
3scale-project                                          system-sidekiq-4-deploy                                           0/1     Completed           0          41d     10.130.3.154    worker-01.osepext01.claro.amx   <none>           <none>
3scale-project                                          system-sphinx-2-deploy                                            0/1     Completed           0          56d     10.130.3.61     worker-01.osepext01.claro.amx   <none>           <none>
3scale-project                                          system-sphinx-3-deploy                                            0/1     Completed           0          56d     10.128.0.62     infra-01.osepext01.claro.amx    <none>           <none>
3scale-project                                          system-sphinx-4-deploy                                            0/1     Completed           0          41d     10.129.4.30     worker-04.osepext01.claro.amx   <none>           <none>
3scale-project                                          system-sphinx-4-mtj2w                                             1/1     Running             0          41d     10.128.1.48     infra-01.osepext01.claro.amx    <none>           <none>
3scale-project                                          zync-1-deploy                                                     0/1     Completed           0          56d     10.128.0.45     infra-01.osepext01.claro.amx    <none>           <none>
3scale-project                                          zync-2-deploy                                                     0/1     Completed           0          56d     10.130.3.74     worker-01.osepext01.claro.amx   <none>           <none>
3scale-project                                          zync-3-deploy                                                     0/1     Completed           0          41d     10.128.1.46     infra-01.osepext01.claro.amx    <none>           <none>
3scale-project                                          zync-3-nqhk6                                                      1/1     Running             0          4d1h    10.131.3.50     worker-02.osepext01.claro.amx   <none>           <none>
3scale-project                                          zync-database-1-deploy                                            0/1     Completed           0          56d     10.128.4.71     worker-03.osepext01.claro.amx   <none>           <none>
3scale-project                                          zync-database-2-deploy                                            0/1     Completed           0          56d     10.130.3.75     worker-01.osepext01.claro.amx   <none>           <none>
3scale-project                                          zync-database-2-fwt2w                                             1/1     Running             0          56d     10.128.0.66     infra-01.osepext01.claro.amx    <none>           <none>
3scale-project                                          zync-que-1-deploy                                                 0/1     Completed           0          56d     10.130.3.54     worker-01.osepext01.claro.amx   <none>           <none>
3scale-project                                          zync-que-2-deploy                                                 0/1     Completed           0          56d     10.128.0.63     infra-01.osepext01.claro.amx    <none>           <none>
3scale-project                                          zync-que-3-deploy                                                 0/1     Completed           0          41d     10.129.4.31     worker-04.osepext01.claro.amx   <none>           <none>
3scale-project                                          zync-que-3-h22x7                                                  1/1     Running             0          4d1h    10.129.3.159    infra-03.osepext01.claro.amx    <none>           <none>
atp                                                     redhatopenjdk8-1-4kxzt                                            1/1     Running             0          81d     10.128.4.7      worker-03.osepext01.claro.amx   <none>           <none>
atp                                                     redhatopenjdk8-1-m9hjp                                            1/1     Running             0          81d     10.129.4.10     worker-04.osepext01.claro.amx   <none>           <none>
claro-arquitectura                                      nats-server-0                                                     2/2     Running             0          2d19h   10.128.1.140    infra-01.osepext01.claro.amx    <none>           <none>
claro-arquitectura                                      nats-server-1                                                     2/2     Running             0          2d19h   10.129.3.192    infra-03.osepext01.claro.amx    <none>           <none>
