NAME                      DESIRED   CURRENT   READY   AGE     CONTAINERS                                       IMAGES                                                                                                                                                                                                                                                                                                                                                        SELECTOR
apicast-staging-32        0         0         0       11d     apicast-staging                                  image-registry.openshift-image-registry.svc:5000/3scale-project/amp-apicast@sha256:63ad5389324c01eaefe33a6f9a9a9d11246ba9ea2f1421c6ce0a560c240d420e                                                                                                                                                                                                           deployment=apicast-staging-32,deploymentConfig=apicast-staging,deploymentconfig=apicast-staging
apicast-staging-33        0         0         0       11d     apicast-staging                                  image-registry.openshift-image-registry.svc:5000/3scale-project/amp-apicast@sha256:7e5d6f382e7e834e11609e5e43cdfeeb4a2e0923e8cf4b9d866e9833e0bb8863                                                                                                                                                                                                           deployment=apicast-staging-33,deploymentConfig=apicast-staging,deploymentconfig=apicast-staging
apicast-staging-34        0         0         0       4d23h   apicast-staging                                  image-registry.openshift-image-registry.svc:5000/3scale-project/amp-apicast@sha256:7e5d6f382e7e834e11609e5e43cdfeeb4a2e0923e8cf4b9d866e9833e0bb8863                                                                                                                                                                                                           deployment=apicast-staging-34,deploymentConfig=apicast-staging,deploymentconfig=apicast-staging
backend-cron-1            0         0         0       56d     backend-cron                                     registry.redhat.io/3scale-amp2/backend-rhel7@sha256:d8322db4149afc5672ebc3d0430a077c58a8e3e98d7fce720b6a5a3d2498c9c5                                                                                                                                                                                                                                          deployment=backend-cron-1,deploymentConfig=backend-cron,deploymentconfig=backend-cron
backend-cron-2            0         0         0       56d     backend-cron                                     registry.redhat.io/3scale-amp2/backend-rhel7@sha256:d8322db4149afc5672ebc3d0430a077c58a8e3e98d7fce720b6a5a3d2498c9c5                                                                                                                                                                                                                                          deployment=backend-cron-2,deploymentConfig=backend-cron,deploymentconfig=backend-cron
backend-cron-3            1         1         1       41d     backend-cron                                     registry.redhat.io/3scale-amp2/backend-rhel7@sha256:bd626295c55a7815a816d7049fba1febdec6a3305dee2a3292e92a26d56036b0                                                                                                                                                                                                                                          deployment=backend-cron-3,deploymentConfig=backend-cron,deploymentconfig=backend-cron
backend-listener-1        0         0         0       56d     backend-listener                                 registry.redhat.io/3scale-amp2/backend-rhel7@sha256:d8322db4149afc5672ebc3d0430a077c58a8e3e98d7fce720b6a5a3d2498c9c5                                                                                                                                                                                                                                          deployment=backend-listener-1,deploymentConfig=backend-listener,deploymentconfig=backend-listener
backend-listener-2        0         0         0       56d     backend-listener                                 registry.redhat.io/3scale-amp2/backend-rhel7@sha256:d8322db4149afc5672ebc3d0430a077c58a8e3e98d7fce720b6a5a3d2498c9c5                                                                                                                                                                                                                                          deployment=backend-listener-2,deploymentConfig=backend-listener,deploymentconfig=backend-listener
backend-listener-3        1         1         1       41d     backend-listener                                 registry.redhat.io/3scale-amp2/backend-rhel7@sha256:bd626295c55a7815a816d7049fba1febdec6a3305dee2a3292e92a26d56036b0                                                                                                                                                                                                                                          deployment=backend-listener-3,deploymentConfig=backend-listener,deploymentconfig=backend-listener
backend-worker-1          0         0         0       56d     backend-worker                                   registry.redhat.io/3scale-amp2/backend-rhel7@sha256:d8322db4149afc5672ebc3d0430a077c58a8e3e98d7fce720b6a5a3d2498c9c5                                                                                                                                                                                                                                          deployment=backend-worker-1,deploymentConfig=backend-worker,deploymentconfig=backend-worker
backend-worker-2          0         0         0       56d     backend-worker                                   registry.redhat.io/3scale-amp2/backend-rhel7@sha256:d8322db4149afc5672ebc3d0430a077c58a8e3e98d7fce720b6a5a3d2498c9c5                                                                                                                                                                                                                                          deployment=backend-worker-2,deploymentConfig=backend-worker,deploymentconfig=backend-worker
backend-worker-3          1         1         1       41d     backend-worker                                   registry.redhat.io/3scale-amp2/backend-rhel7@sha256:bd626295c55a7815a816d7049fba1febdec6a3305dee2a3292e92a26d56036b0                                                                                                                                                                                                                                          deployment=backend-worker-3,deploymentConfig=backend-worker,deploymentconfig=backend-worker
book-service-1            1         1         1       13d     book-service                                     image-registry.openshift-image-registry.svc:5000/3scale-project/book-service@sha256:580fff8b679089ef830b1b128687a02bda68ae0f6f6d1320ee10ca7c937f8191                                                                                                                                                                                                          app=book-service,deployment=book-service-1,deploymentconfig=book-service
claro-mock-service-dc-1   0         0         0       13d     claro-mock-service                               3scale-project/claro-mock-service                                                                                                                                                                                                                                                                                                                             app=claro-mock-service,deployment=claro-mock-service-dc-1,deploymentconfig=claro-mock-service-dc
claro-mock-service-dc-2   0         0         0       13d     claro-mock-service                               3scale-project/claro-mock-service:1.0                                                                                                                                                                                                                                                                                                                         app=claro-mock-service,deployment=claro-mock-service-dc-2,deploymentconfig=claro-mock-service-dc
claro-mock-service-dc-3   1         1         1       13d     claro-mock-service                               image-registry.openshift-image-registry.svc:5000/3scale-project/claro-mock-service:1.0                                                                                                                                                                                                                                                                        app=claro-mock-service,deployment=claro-mock-service-dc-3,deploymentconfig=claro-mock-service-dc
system-app-3              0         0         0       56d     system-master,system-provider,system-developer   registry.redhat.io/3scale-amp2/system-rhel7@sha256:a934997501b41be2ca2b62e37c35bd334252b5e2ed28652c275bd1de8a9d324a,registry.redhat.io/3scale-amp2/system-rhel7@sha256:a934997501b41be2ca2b62e37c35bd334252b5e2ed28652c275bd1de8a9d324a,registry.redhat.io/3scale-amp2/system-rhel7@sha256:a934997501b41be2ca2b62e37c35bd334252b5e2ed28652c275bd1de8a9d324a   deployment=system-app-3,deploymentConfig=system-app,deploymentconfig=system-app
system-app-4              1         1         1       41d     system-master,system-provider,system-developer   registry.redhat.io/3scale-amp2/system-rhel7@sha256:a934997501b41be2ca2b62e37c35bd334252b5e2ed28652c275bd1de8a9d324a,registry.redhat.io/3scale-amp2/system-rhel7@sha256:a934997501b41be2ca2b62e37c35bd334252b5e2ed28652c275bd1de8a9d324a,registry.redhat.io/3scale-amp2/system-rhel7@sha256:a934997501b41be2ca2b62e37c35bd334252b5e2ed28652c275bd1de8a9d324a   deployment=system-app-4,deploymentConfig=system-app,deploymentconfig=system-app
system-app-5              0         0         0       41d     system-master,system-provider,system-developer   registry.redhat.io/3scale-amp2/system-rhel7@sha256:29836068f71f53f88b75345055808106cb4620bf3d488bd458709936d716377f,registry.redhat.io/3scale-amp2/system-rhel7@sha256:29836068f71f53f88b75345055808106cb4620bf3d488bd458709936d716377f,registry.redhat.io/3scale-amp2/system-rhel7@sha256:29836068f71f53f88b75345055808106cb4620bf3d488bd458709936d716377f   deployment=system-app-5,deploymentConfig=system-app,deploymentconfig=system-app
system-memcache-1         0         0         0       56d     memcache                                         registry.redhat.io/3scale-amp2/memcached-rhel7@sha256:2be57d773843135c0677e31d34b0cd24fa9dafc4ef1367521caa2bab7c6122e6                                                                                                                                                                                                                                        deployment=system-memcache-1,deploymentConfig=system-memcache,deploymentconfig=system-memcache
system-memcache-2         1         1         1       56d     memcache                                         registry.redhat.io/3scale-amp2/memcached-rhel7@sha256:2be57d773843135c0677e31d34b0cd24fa9dafc4ef1367521caa2bab7c6122e6                                                                                                                                                                                                                                        deployment=system-memcache-2,deploymentConfig=system-memcache,deploymentconfig=system-memcache
system-sidekiq-2          0         0         0       56d     system-sidekiq                                   registry.redhat.io/3scale-amp2/system-rhel7@sha256:a934997501b41be2ca2b62e37c35bd334252b5e2ed28652c275bd1de8a9d324a                                                                                                                                                                                                                                           deployment=system-sidekiq-2,deploymentConfig=system-sidekiq,deploymentconfig=system-sidekiq
system-sidekiq-3          0         0         0       56d     system-sidekiq                                   registry.redhat.io/3scale-amp2/system-rhel7@sha256:a934997501b41be2ca2b62e37c35bd334252b5e2ed28652c275bd1de8a9d324a                                                                                                                                                                                                                                           deployment=system-sidekiq-3,deploymentConfig=system-sidekiq,deploymentconfig=system-sidekiq
system-sidekiq-4          1         1         1       41d     system-sidekiq                                   registry.redhat.io/3scale-amp2/system-rhel7@sha256:29836068f71f53f88b75345055808106cb4620bf3d488bd458709936d716377f                                                                                                                                                                                                                                           deployment=system-sidekiq-4,deploymentConfig=system-sidekiq,deploymentconfig=system-sidekiq
system-sphinx-2           0         0         0       56d     system-sphinx                                    registry.redhat.io/3scale-amp2/system-rhel7@sha256:a934997501b41be2ca2b62e37c35bd334252b5e2ed28652c275bd1de8a9d324a                                                                                                                                                                                                                                           deployment=system-sphinx-2,deploymentConfig=system-sphinx,deploymentconfig=system-sphinx
system-sphinx-3           0         0         0       56d     system-sphinx                                    registry.redhat.io/3scale-amp2/system-rhel7@sha256:a934997501b41be2ca2b62e37c35bd334252b5e2ed28652c275bd1de8a9d324a                                                                                                                                                                                                                                           deployment=system-sphinx-3,deploymentConfig=system-sphinx,deploymentconfig=system-sphinx
system-sphinx-4           1         1         1       41d     system-sphinx                                    registry.redhat.io/3scale-amp2/system-rhel7@sha256:29836068f71f53f88b75345055808106cb4620bf3d488bd458709936d716377f                                                                                                                                                                                                                                           deployment=system-sphinx-4,deploymentConfig=system-sphinx,deploymentconfig=system-sphinx
zync-1                    0         0         0       56d     zync                                             registry.redhat.io/3scale-amp2/zync-rhel7@sha256:34fa60de75f5a0e220105c6bf0ed676f16c8b206812fad65078cf98a16a6d4ef                                                                                                                                                                                                                                             deployment=zync-1,deploymentConfig=zync,deploymentconfig=zync
zync-2                    0         0         0       56d     zync                                             registry.redhat.io/3scale-amp2/zync-rhel7@sha256:34fa60de75f5a0e220105c6bf0ed676f16c8b206812fad65078cf98a16a6d4ef                                                                                                                                                                                                                                             deployment=zync-2,deploymentConfig=zync,deploymentconfig=zync
zync-3                    1         1         1       41d     zync                                             registry.redhat.io/3scale-amp2/zync-rhel7@sha256:f46b47b84450a81cb463b66dc86b91baf0dd60bdca275192925f6924b90a57bf                                                                                                                                                                                                                                             deployment=zync-3,deploymentConfig=zync,deploymentconfig=zync
zync-database-1           0         0         0       56d     postgresql                                       registry.redhat.io/rhscl/postgresql-10-rhel7@sha256:de3ab628b403dc5eed986a7f392c34687bddafee7bdfccfd65cecf137ade3dfd                                                                                                                                                                                                                                          deployment=zync-database-1,deploymentConfig=zync-database,deploymentconfig=zync-database
zync-database-2           1         1         1       56d     postgresql                                       registry.redhat.io/rhscl/postgresql-10-rhel7@sha256:de3ab628b403dc5eed986a7f392c34687bddafee7bdfccfd65cecf137ade3dfd                                                                                                                                                                                                                                          deployment=zync-database-2,deploymentConfig=zync-database,deploymentconfig=zync-database
zync-que-1                0         0         0       56d     que                                              registry.redhat.io/3scale-amp2/zync-rhel7@sha256:34fa60de75f5a0e220105c6bf0ed676f16c8b206812fad65078cf98a16a6d4ef                                                                                                                                                                                                                                             deployment=zync-que-1,deploymentConfig=zync-que,deploymentconfig=zync-que
zync-que-2                0         0         0       56d     que                                              registry.redhat.io/3scale-amp2/zync-rhel7@sha256:34fa60de75f5a0e220105c6bf0ed676f16c8b206812fad65078cf98a16a6d4ef                                                                                                                                                                                                                                             deployment=zync-que-2,deploymentConfig=zync-que,deploymentconfig=zync-que
zync-que-3                1         1         1       41d     que                                              registry.redhat.io/3scale-amp2/zync-rhel7@sha256:f46b47b84450a81cb463b66dc86b91baf0dd60bdca275192925f6924b90a57bf                                                                                                                                                                                                                                             deployment=zync-que-3,deploymentConfig=zync-que,deploymentconfig=zync-que
